Actor,Episode_Apperance
Cher,3.07
Madonna,5.21
Sandra Bernhard,3.12
Andy Richter,8.03
Demi Moore,5.16
Rudy Galindo,1.11
Michele Lee,7.16
Matt Damon,4.16
James Earl Jones,6.04
Britney Spears,8.18
Stone Phillips,2.12
Minnie Driver,5.15
Woody Harrelson,3.21
Rip Taylor,5.17
Jennifer Lopez,6.23
Martina Navratilova,3.04
Ellen Degeneres,3.15
Kevin Bacon,5.02
Michael Douglas,4.23
Elton John,5.10
Matt Lauer,8.11
Katie Couric,5.08
Salma Hayek,8.18
Alec Baldwin,7.23
Candice Bergen,6.09
Barry Manilow,6.1
John Edward,6.17
Mark Juliano,6.23
Janet Jackson,7.02
Patti Lupone,7.15
Chita Rivera,7.16
Lee Majors,7.21
Bernadette Peters,8.22
Taye Diggs,8.1
Joan Collins,2.22
Matthew Mcconaughey,8.18
Josh Lucas,8.22
George Takei,8.18
Rosie O'donnell,4.15
